organization_name,country_code,appearance_count,latitude,longitude,geocode_status,geocode_display_name,geocode_source,last_checked_at
Guangzhou Sport University,CN,1,23.1431,113.316,ok,Guangzhou Sport University,wikipedia_wikidata,2026-03-12T06:02:41+00:00
Guangzhou University,CN,35,23.116670608520508,113.25,ok,Guangzhou University,openalex,2026-03-12T00:55:37+00:00
Guangzhou Xinhua University,CN,1,23.0651794,113.5760713,ok,"Guangzhou Xinhua University (Dongguan Campus), 248, Yanjiang West 1st Road, Machong Town, Dongguan, Guangdong, 510760, China",nominatim,2026-03-12T03:02:59+00:00
Guger Technologies (Austria),AT,5,47.06667,15.45,ok,Guger Technologies (Austria),openalex,2026-03-12T03:50:48+00:00
Guilin Medical University,CN,1,22.799916666667,108.34688888889,ok,Guangxi Medical University,wikipedia_wikidata,2026-03-12T02:39:21+00:00
Guilin University of Electronic Technology,CN,9,25.281644821166992,110.3372802734375,ok,Guilin University of Electronic Technology,openalex,2026-03-12T00:38:46+00:00
Guilin University of Technology,CN,6,25.28022003173828,110.29638671875,ok,Guilin University of Technology,openalex,2026-03-12T01:05:49+00:00
Guiyang Medical University,CN,1,27.72489,107.06604,ok,Zunyi Medical University,wikipedia_wikidata,2026-03-12T10:21:08+00:00
Guizhou Academy of Agricultural Sciences,CN,1,30.996950149536133,110.68975067138672,ok,Guizhou Academy of Agricultural Sciences,openalex,2026-03-12T03:53:59+00:00
Guizhou Electric Power Design and Research Institute,CN,1,26.56276512145996,106.69889068603516,ok,Guizhou Electric Power Design and Research Institute,,2026-03-12T06:15:10+00:00
Guizhou Provincial Institute of Mountain Agricultural Machinery,CN,1,26.543027877807617,106.69344329833984,ok,Guizhou Provincial Institute of Mountain Agricultural Machinery,openalex,2026-03-12T03:53:57+00:00
Guizhou Provincial People's Hospital,CN,2,26.575790405273438,106.72232818603516,ok,Guizhou Provincial People's Hospital,,2026-03-12T01:50:46+00:00
Guizhou University,CN,5,26.420438766479492,106.67110443115234,ok,Guizhou University,openalex,2026-03-12T03:24:39+00:00
Guodian Institute of Science and Technology,CN,1,32.06488037109375,118.77677154541016,ok,Guodian Institute of Science and Technology,,2026-03-12T09:19:04+00:00
Gurit (United Kingdom),GB,1,50.71295928955078,-1.2911059856414795,ok,Gurit (United Kingdom),,2026-03-12T07:50:22+00:00
Guru Gobind Singh Indraprastha University,IN,1,28.65195,77.23149,ok,Guru Gobind Singh Indraprastha University,openalex,2026-03-12T04:38:31+00:00
Guy's Hospital,GB,21,51.503360748291016,-0.08714497089385986,ok,Guy's Hospital,openalex,2026-03-11T19:59:31+00:00
Guy's and St Thomas' NHS Foundation Trust,GB,5,51.5048828125,-0.08893900364637375,ok,Guy's and St Thomas' NHS Foundation Trust,openalex,2026-03-11T20:27:42+00:00
Gwangju Institute of Science and Technology,KR,33,35.22652778,126.84,ok,Gwangju Institute of Science and Technology,wikipedia_wikidata,2026-03-12T01:15:17+00:00
Gyeongsang National University,KR,17,35.20445,128.12408,ok,Gyeongsang National University,openalex,2026-03-12T00:21:12+00:00
HEC Paris,FR,1,48.758055555556,2.1702777777778,ok,HEC Paris,wikipedia_wikidata,2026-03-12T09:04:40+00:00
HES-SO University of Applied Sciences and Arts Western Switzerland,CH,6,47.36493,7.34453,ok,HES-SO University of Applied Sciences and Arts Western Switzerland,openalex,2026-03-12T03:45:50+00:00
HESAM Université,FR,2,48.85341,2.3488,ok,HESAM Université,openalex,2026-03-11T20:11:18+00:00
HKUST Shenzhen Research Institute,CN,2,22.53342628479004,113.93525695800781,ok,HKUST Shenzhen Research Institute,,2026-03-12T07:38:44+00:00
HRL Laboratories (United States),US,15,34.0257682800293,-118.78040313720703,ok,HRL Laboratories (United States),openalex,2026-03-12T00:36:39+00:00
HUN-REN Research Centre for Natural Sciences,HU,1,47.5248478,19.0740171,ok,"Hun utca, Lőportárdűlő, Angyalföld, 13th district, Budapest, Central Hungary, 1135, Hungary",nominatim,2026-03-12T09:21:33+00:00
Hacettepe University,TR,3,39.91986846923828,32.854270935058594,ok,Hacettepe University,openalex,2026-03-12T04:23:04+00:00
Hachinohe National College of Technology,JP,1,40.49224090576172,141.44935607910156,ok,Hachinohe National College of Technology,openalex,2026-03-12T03:54:16+00:00
Hackensack Meridian Health,US,1,40.742472,-74.246187,ok,Hackensack Meridian School of Medicine,wikipedia_wikidata,2026-03-11T23:54:45+00:00
Hackensack University Medical Center,US,3,40.8842,-74.0575,ok,Hackensack University Medical Center,wikipedia_wikidata,2026-03-11T23:53:42+00:00
Hadassah Medical Center,IL,1,31.764722222222222,35.149166666666666,ok,Hadassah Medical Center,wikipedia_wikidata,2026-03-12T05:35:41+00:00
Hagen (Norway),NL,1,52.1021006,6.6472462,ok,"Hagen, Eibergen, Berkelland, Gelderland, Netherlands, 7151 CA, Netherlands",nominatim,2026-03-12T04:30:22+00:00
Haier Group (China),CN,1,36.06488037109375,120.38041687011719,ok,Haier Group (China),,2026-03-12T08:49:13+00:00
Hainan Medical University,CN,3,19.981660842895508,110.33306121826172,ok,Hainan Medical University,openalex,2026-03-12T03:43:16+00:00
Hainan University,CN,16,20.06055556,110.32138889,ok,Hainan University,wikipedia_wikidata,2026-03-12T02:18:55+00:00
Hairmyres Hospital,GB,3,55.75959014892578,-4.221711158752441,ok,Hairmyres Hospital,openalex,2026-03-11T20:28:23+00:00
Hakodate Central General Hospital,JP,4,41.786766052246094,140.7517852783203,ok,Hakodate Central General Hospital,openalex,2026-03-12T00:01:45+00:00
Hallym University,KR,5,37.87472,127.73417,ok,Hallym University,openalex,2026-03-11T20:24:12+00:00
Hamad General Hospital,QA,2,25.293975830078125,51.502811431884766,ok,Hamad General Hospital,openalex,2026-03-11T20:31:20+00:00
Hamad Medical Corporation,QA,4,25.2764008,51.517243,ok,"Hamad Medical Corporation Psychiatry Department, Wadi Mushaireb Street, Rawdat Al Khail, Doha, Qatar",nominatim,2026-03-12T10:14:19+00:00
Hamad bin Khalifa University,QA,2,25.31413,51.43234,ok,Hamad Bin Khalifa University,wikipedia_wikidata,2026-03-12T09:53:39+00:00
Hamburg University of Technology,DE,18,53.55073,9.99302,ok,Hamburg University of Technology,openalex,2026-03-12T00:21:52+00:00
Hamm-Lippstadt University of Applied Sciences,DE,1,51.681281,7.8191185,ok,"Hamm, North Rhine-Westphalia, Germany",nominatim,2026-03-12T12:00:23+00:00
Hammersmith Hospital,GB,3,51.5163,-0.2369,ok,Hammersmith Hospital,wikipedia_wikidata,2026-03-12T06:07:02+00:00
Hampshire Hospitals NHS Foundation Trust,GB,1,51.280277252197266,-1.1111379861831665,ok,Hampshire Hospitals NHS Foundation Trust,openalex,2026-03-11T20:11:02+00:00
Hanbat National University,KR,2,36.34912872314453,127.38493347167969,ok,Hanbat National University,openalex,2026-03-12T01:05:15+00:00
Hangzhou City University,MO,3,30.263611111111,120.12083333333,ok,Zhejiang University,wikipedia_wikidata,2026-03-12T04:00:41+00:00
Hangzhou Dianzi University,CN,47,30.293649673461914,120.16142272949219,ok,Hangzhou Dianzi University,openalex,2026-03-12T01:03:03+00:00
Hangzhou Medical College,CN,5,30.17346954345703,120.15950775146484,ok,Hangzhou Medical College,openalex,2026-03-11T20:09:05+00:00
Hangzhou Normal University,CN,1,30.293649673461914,120.16142272949219,ok,Hangzhou Normal University,openalex,2026-03-12T04:40:07+00:00
Hangzhou Seventh Peoples Hospital,CN,3,30.270212173461914,120.1134033203125,ok,Hangzhou Seventh Peoples Hospital,openalex,2026-03-12T02:58:56+00:00
Hanoi University,VN,1,21.00277778,105.83166667,ok,Hanoi Medical University,wikipedia_wikidata,2026-03-12T09:30:40+00:00
Hanoi University of Industry,VN,1,21.024499893188477,105.84117126464844,ok,Hanoi University of Industry,openalex,2026-03-11T20:02:53+00:00
Hanoi University of Science and Technology,VN,2,21.024499893188477,105.84117126464844,ok,Hanoi University of Science and Technology,openalex,2026-03-11T20:02:48+00:00
Hanover College,US,1,38.714229583740234,-85.47357177734375,ok,Hanover College,openalex,2026-03-12T02:59:24+00:00
Hansung University,KR,1,37.566001892089844,126.97840118408203,ok,Hansung University,openalex,2026-03-12T03:38:38+00:00
Hanyang University,KR,112,37.566,126.9784,ok,Hanyang University,openalex,2026-03-11T20:12:45+00:00
Haption (France),FR,1,48.06175994873047,-0.5784010291099548,ok,Haption (France),openalex,2026-03-11T20:03:27+00:00
Harbin Electric Corporation (China),CN,1,45.810726165771484,126.5076904296875,ok,Harbin Electric Corporation (China),,2026-03-12T04:55:52+00:00
Harbin Engineering University,CN,57,45.75,126.6500015258789,ok,Harbin Engineering University,openalex,2026-03-12T01:07:34+00:00
Harbin Institute of Technology,CN,1003,45.75,126.6500015258789,ok,Harbin Institute of Technology,openalex,2026-03-11T19:47:48+00:00
Harbin Medical University,CN,6,45.75,126.6500015258789,ok,Harbin Medical University,openalex,2026-03-12T00:30:20+00:00
Harbin University,CN,4,45.77222222,126.675,ok,Harbin Engineering University,wikipedia_wikidata,2026-03-12T08:56:19+00:00
Harbin University of Science and Technology,CN,16,45.75,126.6500015258789,ok,Harbin University of Science and Technology,openalex,2026-03-11T20:23:22+00:00
Harmonic (United States),US,1,29.6459843,-82.358908,ok,"Harmonic Woods, Gainesville, Alachua County, Florida, United States",nominatim,2026-03-12T11:17:32+00:00
Harry Gregg Foundation,US,1,42.973445892333984,-71.87349700927734,ok,Harry Gregg Foundation,,2026-03-12T10:35:10+00:00
Hartford Financial Services (United States),US,2,41.7974165,-72.3738307,ok,"Sterling Principle Financial Services, 1699, Boston Turnpike, Meadowbrook Plaza, North Coventry, Coventry, Capitol Planning Region, Connecticut, 06238, United States",nominatim,2026-03-11T22:30:48+00:00
Hartford Hospital,US,1,41.763710021972656,-72.68508911132812,ok,Hartford Hospital,openalex,2026-03-11T20:19:30+00:00
Harvard University,US,534,42.3751,-71.10561,ok,Harvard University,openalex,2026-03-11T19:38:55+00:00
Harvard University Press,US,23,42.38301467895508,-71.12705993652344,ok,Harvard University Press,openalex,2026-03-11T20:03:12+00:00
Harvard–MIT Division of Health Sciences and Technology,US,9,42.361778259277344,-71.0869140625,ok,Harvard–MIT Division of Health Sciences and Technology,openalex,2026-03-11T20:20:18+00:00
Harvey Mudd College,US,2,34.0966796875,-117.71977996826172,ok,Harvey Mudd College,openalex,2026-03-11T20:29:29+00:00
Hasan Kalyoncu University,EE,2,41.19777777777778,29.065,ok,Koç University,wikipedia_wikidata,2026-03-12T00:32:23+00:00
Hasselt University,BE,3,50.931060791015625,5.337810039520264,ok,Hasselt University,openalex,2026-03-12T04:09:05+00:00
Hasso Plattner Institute,DE,1,52.3933919,13.131564,ok,"Hasso Plattner Institute, 2-3, Prof.-Dr.-Helmert-Straße, Babelsberg Süd, Potsdam, Teltow, Brandenburg, 14482, Germany",nominatim,2026-03-12T05:02:13+00:00
Haukeland University Hospital,NO,2,60.39299011230469,5.324150085449219,ok,Haukeland University Hospital,openalex,2026-03-12T03:50:11+00:00
Hautes Études d'Ingénieur,FR,5,50.633819580078125,3.04498291015625,ok,Hautes Études d'Ingénieur,openalex,2026-03-12T04:31:33+00:00
Haverford College,US,1,40.00972222222222,-75.30722222222222,ok,Haverford College,wikipedia_wikidata,2026-03-11T20:59:29+00:00
He Eye Hospital,CN,1,13.070313,80.260735,ok,Egmore Eye Hospital,wikipedia_wikidata,2026-03-12T06:20:45+00:00
Health Affairs,US,1,38.986053466796875,-77.09525299072266,ok,Health Affairs,openalex,2026-03-12T01:08:15+00:00
Health Education England,GB,1,53.7989616394043,-1.5596150159835815,ok,Health Education England,openalex,2026-03-12T00:33:45+00:00
Health On The Net Foundation,CH,1,46.20536422729492,6.207337856292725,ok,Health On The Net Foundation,,2026-03-12T12:09:36+00:00
Health Sciences Centre,CA,2,49.8844,-97.14704,ok,Health Sciences Centre,openalex,2026-03-12T00:09:31+00:00
Health Sciences North,CA,1,17.993406,-66.619778,ok,Ponce Health Sciences University,wikipedia_wikidata,2026-03-12T12:11:04+00:00
Hearing4all,DE,2,53.15182876586914,8.166773796081543,ok,Hearing4all,,2026-03-11T21:50:31+00:00
Hebei Agricultural University,CN,5,38.87287902832031,115.46246337890625,ok,Hebei Agricultural University,openalex,2026-03-12T01:04:42+00:00
Hebei Normal University of Science and Technology,CN,1,39.910892486572266,119.54804229736328,ok,Hebei Normal University of Science and Technology,openalex,2026-03-12T03:01:52+00:00
Hebei Science and Technology Department,CN,2,39.2054298,118.585956,ok,"North China University of Science and Technology, 21号, Bohai Avenue, Caofeidian Xincheng, Caofeidian District, Tangshan, Hebei, 063210, China",nominatim,2026-03-12T10:04:52+00:00
Hebei University,CN,10,38.87287902832031,115.46246337890625,ok,Hebei University,openalex,2026-03-12T01:02:16+00:00
Hebei University of Technology,CN,80,39.24036587529317,117.0650786077938,ok,Hebei University of Technology,wikipedia_wikidata,2026-03-11T21:44:17+00:00
Hebrew University of Jerusalem,IL,22,31.76904,35.21633,ok,Hebrew University of Jerusalem,openalex,2026-03-11T20:02:24+00:00
Hefei Institutes of Physical Science,CN,12,31.822477340698242,117.2808609008789,ok,Hefei Institutes of Physical Science,,2026-03-11T00:26:15+00:00
Hefei National Center for Physical Sciences at Nanoscale,CN,17,31.82270050048828,117.28034973144531,ok,Hefei National Center for Physical Sciences at Nanoscale,openalex,2026-03-12T03:00:37+00:00
Hefei University,CN,6,31.863889694213867,117.28083038330078,ok,Hefei University,openalex,2026-03-12T04:17:04+00:00
Hefei University of Technology,CN,134,31.863889694213867,117.28083038330078,ok,Hefei University of Technology,openalex,2026-03-11T19:47:50+00:00
Heidelberg University,DE,136,49.40768,8.69079,ok,Heidelberg University,openalex,2026-03-11T19:40:40+00:00
Heidelberg University of Education,DE,1,49.4957761,8.4590301,ok,Heidelberg University School of Medicine,wikipedia_wikidata,2026-03-11T22:19:25+00:00
Heilbronn University,DE,1,49.139949798583984,9.220540046691895,ok,Heilbronn University,openalex,2026-03-11T20:30:37+00:00
Heilongjiang Institute of Technology,CN,6,45.785099029541016,126.68553161621094,ok,Heilongjiang Institute of Technology,openalex,2026-03-12T03:51:57+00:00
Heilongjiang University,CN,14,45.706944444444446,126.61694444444444,ok,Heilongjiang University,wikipedia_wikidata,2026-03-12T02:35:10+00:00
Heinrich Heine University Düsseldorf,DE,1,51.1903,6.794169444444444,ok,Heinrich Heine University Düsseldorf,wikipedia_wikidata,2026-03-12T10:13:01+00:00
Helios Hospital Schwerin,DE,2,53.651422,11.4082224,ok,"Helios Kliniken Schwerin, 393-397, Wismarsche Straße, Sachsenberg, Lewenberg, Schwerin, Mecklenburg-Vorpommern, 19055, Germany",nominatim,2026-03-11T23:45:14+00:00
Hellenic Mediterranean University,GR,8,35.32787,25.14341,ok,Hellenic Mediterranean University,openalex,2026-03-12T00:15:11+00:00
Helmholtz Institute Erlangen-Nürnberg,DE,2,49.59098815917969,11.007829666137695,ok,Helmholtz Institute Erlangen-Nürnberg,openalex,2026-03-12T01:09:11+00:00
Helmholtz Zentrum München,DE,1,48.137428283691406,11.57548999786377,ok,Helmholtz Zentrum München,openalex,2026-03-12T03:27:14+00:00
Helmholtz-Zentrum Dresden-Rossendorf,DE,4,51.0508918762207,13.738320350646973,ok,Helmholtz-Zentrum Dresden-Rossendorf,openalex,2026-03-12T03:27:19+00:00
Helmholtz-Zentrum Hereon,DE,6,53.43574905395508,10.377900123596191,ok,Helmholtz-Zentrum Hereon,openalex,2026-03-12T04:39:49+00:00
Helmut Schmidt University,DE,3,53.56785,10.10719,ok,Helmut Schmidt University,wikipedia_wikidata,2026-03-12T07:58:02+00:00
Henan Agricultural University,CN,16,39.989722222222,116.30527777778,ok,Henan Agricultural University,wikipedia_wikidata,2026-03-12T07:01:32+00:00
Henan Institute of Science and Technology,CN,4,34.6649,112.36626,ok,Henan University of Science and Technology,wikipedia_wikidata,2026-03-12T01:29:09+00:00
Henan Polytechnic University,CN,12,35.23971939086914,113.23306274414062,ok,Henan Polytechnic University,openalex,2026-03-12T03:38:08+00:00
Henan Province Water Conservancy Survey and Design Research,CN,8,34.768577575683594,113.72657775878906,ok,Henan Province Water Conservancy Survey and Design Research,openalex,2026-03-12T04:31:54+00:00
Henan Provincial People's Hospital,CN,1,34.75777816772461,113.64861297607422,ok,Henan Provincial People's Hospital,openalex,2026-03-12T03:52:28+00:00
Henan University,CN,8,34.81272222,114.36369444,ok,Henan University,wikipedia_wikidata,2026-03-11T21:29:57+00:00
Henan University of Science and Technology,CN,19,34.68360900878906,112.45361328125,ok,Henan University of Science and Technology,openalex,2026-03-12T00:34:56+00:00
Henan University of Technology,CN,6,34.75777816772461,113.64861297607422,ok,Henan University of Technology,openalex,2026-03-12T03:38:06+00:00
Henry Ford Health System,US,45,42.33142852783203,-83.0457534790039,ok,Henry Ford Health System,openalex,2026-03-11T19:46:12+00:00
Henry Ford Hospital,US,5,42.367028,-83.084306,ok,Henry Ford Hospital,wikipedia_wikidata,2026-03-11T23:53:58+00:00
Heriot-Watt University,GB,34,55.909362,-3.320113,ok,Heriot-Watt University,wikipedia_wikidata,2026-03-11T22:03:05+00:00
Heriot-Watt University Dubai,AE,1,55.909362,-3.320113,ok,Heriot-Watt University,wikipedia_wikidata,2026-03-12T09:58:42+00:00
Herlev Hospital,DK,4,55.7306563,12.4426833,ok,"Herlev Hospital, Tornerosevej, Eventyrkvarteret, Herlev, Herlev Municipality, Capital Region of Denmark, 2730, Denmark",nominatim,2026-03-11T23:09:41+00:00
High Energy Accelerator Research Organization,JP,1,36.20000076293945,140.10000610351562,ok,High Energy Accelerator Research Organization,openalex,2026-03-12T00:49:30+00:00
HighDim (Switzerland),CH,1,47.5743408203125,7.638463973999023,ok,HighDim (Switzerland),openalex,2026-03-12T00:06:21+00:00
Hikvision (China),CN,1,40.2110639,116.227481,ok,"HikVision, 永安路, 创新园社区, 城北街道, Changping District, Beijing, 102249, China",nominatim,2026-03-12T09:32:00+00:00
Hillingdon Hospitals NHS Foundation Trust,GB,9,51.53518295288086,-0.4481377899646759,ok,Hillingdon Hospitals NHS Foundation Trust,openalex,2026-03-11T19:58:52+00:00
Himeji Dokkyo University,JP,3,34.87222222,134.68944444,ok,Himeji Dokkyo University,wikipedia_wikidata,2026-03-12T02:52:08+00:00
Hindustan Institute of Technology and Science,IN,4,12.800753,80.224268,ok,Hindustan Institute of Technology and Science,wikipedia_wikidata,2026-03-12T07:08:06+00:00
Hippocration General Hospital,GR,1,37.98362731933594,23.759775161743164,ok,Hippocration General Hospital,,2026-03-12T01:54:36+00:00
Hirosaki University,JP,1,40.590576171875,140.47222900390625,ok,Hirosaki University,openalex,2026-03-11T20:24:39+00:00
Hiroshima City University,JP,4,34.43833333,132.41444444,ok,Hiroshima City University,wikipedia_wikidata,2026-03-12T05:00:10+00:00
Hiroshima Prefectural Rehabilitation Center,JP,1,34.393123626708984,132.724365234375,ok,Hiroshima Prefectural Rehabilitation Center,openalex,2026-03-12T03:25:09+00:00
Hiroshima University,JP,86,34.382222222222,132.45805555556,ok,Hiroshima University,wikipedia_wikidata,2026-03-11T20:58:23+00:00
Hiroshima University Hospital,JP,5,34.379451751708984,132.4779815673828,ok,Hiroshima University Hospital,openalex,2026-03-12T04:35:57+00:00
Hitachi (Japan),JP,8,35.68949890136719,139.69171142578125,ok,Hitachi (Japan),openalex,2026-03-11T19:48:22+00:00
Ho Chi Minh City Medicine and Pharmacy University,VN,5,10.7556,106.663,ok,Ho Chi Minh City University of Medicine and Pharmacy,wikipedia_wikidata,2026-03-11T20:16:46+00:00
Ho Chi Minh City University of Science,VN,3,10.7625844,106.6816948,ok,"Ho Chi Minh City University of Sciences - Campus 1, 227, Nguyễn Văn Cừ, Khu phố 5, Phường Cầu Ông Lãnh, Thủ Đức, Ho Chi Minh City, 70000, Vietnam",nominatim,2026-03-12T10:27:06+00:00
Ho Chi Minh City University of Technology,VN,4,10.823019981384277,106.62964630126953,ok,Ho Chi Minh City University of Technology,openalex,2026-03-12T03:44:00+00:00
Ho Chi Minh City University of Technology and Education,VN,2,10.8499,106.7717,ok,Ho Chi Minh City University of Technology and Engineering,wikipedia_wikidata,2026-03-12T01:45:38+00:00
Hochschule Aalen,DE,1,48.8377685546875,10.093299865722656,ok,Hochschule Aalen,openalex,2026-03-11T20:14:35+00:00
Hochschule Bielefeld,DE,10,52.033329010009766,8.533329963684082,ok,Hochschule Bielefeld,openalex,2026-03-12T01:05:24+00:00
Hochschule Bonn-Rhein-Sieg,DE,3,50.7753791809082,7.197000026702881,ok,Hochschule Bonn-Rhein-Sieg,openalex,2026-03-12T03:52:59+00:00
Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,DE,1,51.0508918762207,13.738320350646973,ok,Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,openalex,2026-03-12T00:30:25+00:00
Hochschule für Technik und Wirtschaft des Saarlandes,DE,1,49.23262023925781,7.009819984436035,ok,Hochschule für Technik und Wirtschaft des Saarlandes,openalex,2026-03-12T04:26:35+00:00
Hocoma (Switzerland),CH,2,47.38239288330078,8.665738105773926,ok,Hocoma (Switzerland),openalex,2026-03-11T20:01:14+00:00
Hofstra University,US,3,40.70621109008789,-73.61873626708984,ok,Hofstra University,openalex,2026-03-11T20:19:09+00:00
Hohai University,CN,36,32.061668395996094,118.77777862548828,ok,Hohai University,openalex,2026-03-12T00:13:27+00:00
Hokkaido University,JP,31,43.07817840576172,141.3399658203125,ok,Hokkaido University,openalex,2026-03-11T20:24:25+00:00
Hokkaido University Hospital,JP,1,43.06666946411133,141.35000610351562,ok,Hokkaido University Hospital,openalex,2026-03-11T19:34:28+00:00
Hollywood Private Hospital,AU,1,-31.97025489807129,115.80889892578125,ok,Hollywood Private Hospital,openalex,2026-03-11T19:58:24+00:00
Holst Centre (Netherlands),NL,3,51.4138298034668,5.456286907196045,ok,Holst Centre (Netherlands),openalex,2026-03-12T04:19:42+00:00
Holy Spirit University of Kaslik,LB,2,33.89331817626953,35.50157165527344,ok,Holy Spirit University of Kaslik,openalex,2026-03-12T03:48:28+00:00
Homi Bhabha National Institute,IN,1,19.072830200195312,72.88260650634766,ok,Homi Bhabha National Institute,openalex,2026-03-12T03:12:14+00:00
Honda (Germany),DE,15,50.11692428588867,8.728092193603516,ok,Honda (Germany),openalex,2026-03-12T04:05:39+00:00
Honda (Japan),JP,31,35.54557418823242,139.44989013671875,ok,Honda (Japan),openalex,2026-03-12T00:30:38+00:00
Honda (United States),US,19,40.4483347,-74.298358,ok,"Honda, US Highway 9, Old Bridge Township, Middlesex County, New Jersey, 07731, United States",nominatim,2026-03-11T21:18:41+00:00
Honeywell (United States),US,1,33.7741222,-84.3843122,ok,"Honeywell Building Technologies, 715, Peachtree Street Northeast, Midtown, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30308, United States",nominatim,2026-03-12T02:26:34+00:00
Hong Kong Baptist University,HK,2,22.338888888889,114.18166666667,ok,Hong Kong Baptist University,wikipedia_wikidata,2026-03-11T21:07:25+00:00
Hong Kong Footwear Federation,CN,2,22.339258193969727,114.17434692382812,ok,Hong Kong Footwear Federation,,2026-03-12T02:27:52+00:00
Hong Kong Polytechnic University,HK,206,22.27832,114.17469,ok,Hong Kong Polytechnic University,openalex,2026-03-11T20:11:47+00:00
Hong Kong Productivity Council,CN,8,22.3361823,114.1757314,ok,"Hong Kong Productivity Council, Tat Chee Avenue, Tai Hang Tung, Shek Kip Mei, Sham Shui Po District, Kowloon, Hong Kong, China",nominatim,2026-03-12T03:58:13+00:00
Hong Kong Science and Technology Parks Corporation,CN,10,22.426565,114.21124888888889,ok,Hong Kong Science and Technology Parks Corporation,wikidata_search,2026-03-27T00:05:14+00:00
Hong Kong Shue Yan University,CN,1,22.286775588989258,114.19768524169922,ok,Hong Kong Shue Yan University,openalex,2026-03-12T01:05:51+00:00
Hong Kong University of Science and Technology,HK,111,22.3375,114.263,ok,Hong Kong University of Science and Technology,wikipedia_wikidata,2026-03-11T22:51:37+00:00
Hongik University,KR,1,37.55054473876953,126.92535400390625,ok,Hongik University,openalex,2026-03-12T04:32:02+00:00
Hosei University,JP,3,35.695556640625,139.74139404296875,ok,Hosei University,openalex,2026-03-12T04:00:12+00:00
Hoshigaoka Medical Center,JP,3,34.448368072509766,135.46710205078125,ok,Hoshigaoka Medical Center,,2026-03-12T02:51:53+00:00
Hospices Civils de Lyon,FR,2,45.7428663,4.8652997,ok,"Hospices Civils de Lyon, Rue Villon, Monplaisir, 8th Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, Metropolitan France, 69008, France",nominatim,2026-03-11T23:08:22+00:00
Hospital Alemán,AR,2,-34.59193420410156,-58.400997161865234,ok,Hospital Alemán,openalex,2026-03-12T00:57:12+00:00
Hospital Braga,PT,2,41.5674945,-8.3991615,ok,"Hospital de Braga, Fonte nº5 das Sete Fontes, Braga (São Vítor), Tenões, Braga, 4710-243, Portugal",nominatim,2026-03-12T04:54:10+00:00
Hospital Curry Cabral,PT,2,38.740814208984375,-9.153904914855957,ok,Hospital Curry Cabral,openalex,2026-03-12T00:56:34+00:00
Hospital General Universitario Gregorio Marañón,ES,5,40.4165,-3.70256,ok,Hospital General Universitario Gregorio Marañón,openalex,2026-03-12T00:00:28+00:00
Hospital General Universitario de Alicante Doctor Balmis,ES,2,38.34516906738281,-0.48148998618125916,ok,Hospital General Universitario de Alicante Doctor Balmis,openalex,2026-03-12T00:57:02+00:00
Hospital General Universitario de Elche,ES,3,38.2598991394043,-0.6851339936256409,ok,Hospital General Universitario de Elche,openalex,2026-03-12T00:36:18+00:00
Hospital Infantil Universitario Niño Jesús,ES,6,40.4165,-3.70256,ok,Hospital Infantil Universitario Niño Jesús,openalex,2026-03-11T20:13:08+00:00
Hospital Italiano de Buenos Aires,AR,5,-34.60658264160156,-58.42499923706055,ok,Hospital Italiano de Buenos Aires,openalex,2026-03-12T00:51:57+00:00
Hospital Regional Universitario de Málaga,ES,4,36.724143981933594,-4.450072765350342,ok,Hospital Regional Universitario de Málaga,openalex,2026-03-12T00:30:33+00:00
Hospital São Paulo,BR,1,-23.547500610351562,-46.6361083984375,ok,Hospital São Paulo,openalex,2026-03-12T00:56:50+00:00
Hospital Universitari Arnau de Vilanova,ES,10,41.62700653076172,0.6126930117607117,ok,Hospital Universitari Arnau de Vilanova,openalex,2026-03-11T19:49:52+00:00
Hospital Universitari Germans Trias i Pujol,ES,1,41.388790130615234,2.158989906311035,ok,Hospital Universitari Germans Trias i Pujol,openalex,2026-03-12T04:34:48+00:00
Hospital Universitari Sant Joan D'Alacant,ES,1,38.34516906738281,-0.48148998618125916,ok,Hospital Universitari Sant Joan D'Alacant,openalex,2026-03-12T00:38:01+00:00
Hospital Universitari de Girona Doctor Josep Trueta,ES,3,41.998268127441406,2.819885015487671,ok,Hospital Universitari de Girona Doctor Josep Trueta,openalex,2026-03-12T00:01:39+00:00
Hospital Universitario HM Sanchinarro,ES,1,40.416500091552734,-3.7025599479675293,ok,Hospital Universitario HM Sanchinarro,openalex,2026-03-12T00:00:26+00:00
Hospital Universitario Infanta Sofía,ES,3,40.558414459228516,-3.6105639934539795,ok,Hospital Universitario Infanta Sofía,openalex,2026-03-12T04:33:22+00:00
Hospital Universitario La Paz,ES,1,40.416500091552734,-3.7025599479675293,ok,Hospital Universitario La Paz,openalex,2026-03-12T00:23:16+00:00
Hospital Universitario Miguel Servet,ES,3,41.65605926513672,-0.8773400187492371,ok,Hospital Universitario Miguel Servet,openalex,2026-03-12T00:57:10+00:00
Hospital Universitario Virgen de la Arrixaca,ES,3,37.98704147338867,-1.1300400495529175,ok,Hospital Universitario Virgen de la Arrixaca,openalex,2026-03-12T00:01:37+00:00
